,NE,NA,BGAP,EPA,ASPIN,ENPA,VPA,D,BM,SM,YM,ANI,PR,PUGR,IPUGR,DT_AGL,vs,vl,vm,DT_A_AGL,gruneisen,Cv_300,Cp_300,TEX_300,TC_300,VIB_EN_300,VIB_FE_300
YM,-0.0459293542917509,0.07379469253484787,-0.04675217625580186,-0.6264251375629039,-0.043396963407439294,-0.6264251375629039,-0.6418351945340489,0.24141779760717033,0.8642597480183034,0.9970219526249579,1.0,-0.14063264587446997,-0.41295265426633765,0.4163200096947026,-0.2549153566543287,0.7961258769622594,0.7574788335167321,0.7574788365924391,0.7574788309941841,0.716929542855354,-0.15747851751129396,-0.0019158169988467367,-0.01612787146480659,-0.5363822576198233,0.7355675610420559,-0.7684501991411647,0.790639158021838
ANI,-0.07342188911427254,-0.1352728444302391,0.011234503680952924,0.03564280644555287,0.04349595151473632,0.03564280644555287,0.06860476228931342,-0.0029969652368876166,-0.03920857027859939,-0.14355302790340083,-0.14063264587446997,1.0,0.2483366434472459,-0.23652891825519917,0.25794299148285377,-0.12772297715530678,-0.15395778367445534,-0.15395777360031146,-0.15395778083674014,-0.059828987036428125,-0.013334999358762645,-0.13170875443179936,-0.1301656253405568,0.08635996195167474,-0.06366302833875077,0.1745744747711653,-0.16538625147492153
PR,-0.01766969895459565,-0.10383106350895599,-0.07288695264378442,0.12095215841306238,0.03500061822618616,0.12095215841306238,0.07255038726999548,0.38862910564893205,0.025400969381926625,-0.4589815010950776,-0.41295265426633765,0.2483366434472459,1.0,-0.9974979960836217,0.6431842913948674,-0.5626079406459773,-0.652948757909932,-0.6529487056758593,-0.652948707747644,-0.47787273722549006,0.35933884307535835,-0.04334048558987937,-0.041302160061228506,0.03287871876625618,-0.43330980286292936,0.5525612304950414,-0.5651222294646487
PUGR,0.006540567944878188,0.10217709275320856,0.06694149323514205,-0.11667481682867396,-0.037247293485822695,-0.11667481682867396,-0.0816241277299481,-0.38972497424982216,-0.020819480327202582,0.46483287009751206,0.4163200096947026,-0.23652891825519917,-0.9974979960836217,1.0,-0.6135070837241234,0.5750675062439994,0.6633134190876914,0.6633133639089789,0.6633133659681852,0.48825535236509865,-0.36327310466502916,0.03808015217586772,0.03600670292620885,-0.034900603966122365,0.4465044850113405,-0.5511865482187719,0.5678113577467134
IPUGR,-0.07954154766090603,-0.09132838417373655,-0.06959145494779746,0.07893002314751583,0.013724195637298608,0.07893002314751583,0.03113049187693677,0.20952115252061798,0.05244070815567488,-0.2713388261338664,-0.2549153566543287,0.25794299148285377,0.6431842913948674,-0.6135070837241234,1.0,-0.3177130859894336,-0.37755227875571373,-0.37755227234219735,-0.37755226469097014,-0.26448431576616027,0.1911585033198824,-0.06673822423721854,-0.06546386802240124,0.01736317645123062,-0.21474445120967503,0.4030371159144706,-0.3892831929855701
DT_AGL,-0.004306179553491971,0.17252601523035768,0.187289488730809,-0.47925482599918556,-0.026350083955750413,-0.47925482599918556,-0.6468197243546171,-0.27303361717984215,0.5678700816620365,0.8160378160626081,0.7961258769622594,-0.12772297715530678,-0.5626079406459773,0.5750675062439994,-0.3177130859894336,1.0,0.9802460354340763,0.9802460531555083,0.9802460542887742,0.843604798291568,-0.31071773445758094,0.06355424914677239,0.05200757631409516,-0.3970887254775504,0.6966606196573555,-0.9060518496007222,0.949943792796038
vs,-0.019181703722405644,0.1704588153441262,0.17144049173282871,-0.4595610539056021,-0.030617062075968288,-0.4595610539056021,-0.5801507242255247,-0.34400482867437654,0.4917702491901481,0.7814014598677262,0.7574788335167321,-0.15395778367445534,-0.652948757909932,0.6633134190876914,-0.37755227875571373,0.9802460354340763,1.0,0.9999999999934617,0.9999999999939906,0.8345191622223106,-0.3503584864328214,0.06432203500544977,0.052690105982324265,-0.3822563642711637,0.6817297029692891,-0.9125754813014395,0.9486138332086869
vl,-0.01918172130768033,0.1704588000398259,0.1714406142437411,-0.45956112050269793,-0.030617059791689886,-0.45956112050269793,-0.5801507435595405,-0.34400483000886517,0.4917702674660844,0.7814014651252539,0.7574788365924391,-0.15395777360031146,-0.6529487056758593,0.6633133639089789,-0.37755227234219735,0.9802460531555083,0.9999999999934617,1.0,0.9999999999940498,0.8345191725950342,-0.3503584759435803,0.0643220192102946,0.05269009204380778,-0.38225633659599045,0.6817297501477919,-0.9125754879330107,0.9486138482431733
vm,-0.01918173492533528,0.17045882156542655,0.17144061581681092,-0.4595610855025967,-0.030617055674342693,-0.4595610855025967,-0.5801507591191483,-0.34400485239681305,0.4917702670063802,0.7814014558689774,0.7574788309941841,-0.15395778083674014,-0.652948707747644,0.6633133659681852,-0.37755226469097014,0.9802460542887742,0.9999999999939906,0.9999999999940498,1.0,0.8345191771978423,-0.3503584757537491,0.06432204778670272,0.05269012158527109,-0.3822562994520813,0.6817297104433993,-0.9125754973709276,0.9486138502429556
DT_A_AGL,-0.18006339863054321,-0.2543832335421323,0.12873093908826225,-0.4197088073189732,0.02729740220738263,-0.4197088073189732,-0.5569675253604163,-0.2064887220542924,0.5269586496516812,0.732646012270422,0.716929542855354,-0.059828987036428125,-0.47787273722549006,0.48825535236509865,-0.26448431576616027,0.843604798291568,0.8345191622223106,0.8345191725950342,0.8345191771978423,1.0,-0.269097845301649,-0.33422677690843694,-0.3409517663371849,-0.3194758220438872,0.8723821361240115,-0.7650812141532896,0.8017126468231083
gruneisen,0.07968117522353271,-0.036253720345700124,-0.057430414517939656,0.35452367363178827,-0.027588847611614394,0.35452367363178827,-0.012761250585075956,0.3432436155431516,-0.005961582185826807,-0.17652836119026583,-0.15747851751129396,-0.013334999358762645,0.35933884307535835,-0.36327310466502916,0.1911585033198824,-0.31071773445758094,-0.3503584864328214,-0.3503584759435803,-0.3503584757537491,-0.269097845301649,1.0,0.00048160099760262626,0.012360142382933061,0.19220539952575222,-0.30762785526854775,0.30983598856355854,-0.31773997032227363
Cv_300,0.21399860235678717,0.9884790156114454,0.02979107851216362,-0.029185530119335085,-0.09397452348085672,-0.029185530119335085,-0.04850789893582365,-0.0699814910833392,-0.01941453391330671,-0.002605101494395276,-0.0019158169988467367,-0.13170875443179936,-0.04334048558987937,0.03808015217586772,-0.06673822423721854,0.06355424914677239,0.06432203500544977,0.0643220192102946,0.06432204778670272,-0.33422677690843694,0.00048160099760262626,1.0,0.9992481690253393,-0.07678187531133833,-0.2558955679167391,-0.0954844645656147,0.08694493415002642
Cp_300,0.21163650574076,0.9860333637873612,0.032775014459768,-0.010458538127310416,-0.09380850051077944,-0.010458538127310416,-0.036300510840229255,-0.0766582900219853,-0.0349905444138252,-0.016312378850966782,-0.01612787146480659,-0.1301656253405568,-0.041302160061228506,0.03600670292620885,-0.06546386802240124,0.05200757631409516,0.052690105982324265,0.05269009204380778,0.05269012158527109,-0.3409517663371849,0.012360142382933061,0.9992481690253393,1.0,-0.05354173781206351,-0.26102004014209634,-0.08043352644363726,0.07246441588934605
TEX_300,-0.08177425148395628,-0.10496158186876636,0.25413029285834077,0.603893198414116,-0.005067535216443236,0.603893198414116,0.5596177341767434,-0.3639170485975475,-0.605113026011511,-0.5162135255071568,-0.5363822576198233,0.08635996195167474,0.03287871876625618,-0.034900603966122365,0.01736317645123062,-0.3970887254775504,-0.3822563642711637,-0.38225633659599045,-0.3822562994520813,-0.3194758220438872,0.19220539952575222,-0.07678187531133833,-0.05354173781206351,1.0,-0.31812071808997733,0.5311251889803495,-0.510002042602106
TC_300,-0.20653635358766523,-0.20002806842020787,0.0010725573004564976,-0.4398991686194035,-0.0033255765841987556,-0.4398991686194035,-0.3859915061337895,-0.02758759648595932,0.5257632087013699,0.7566936682814409,0.7355675610420559,-0.06366302833875077,-0.43330980286292936,0.4465044850113405,-0.21474445120967503,0.6966606196573555,0.6817297029692891,0.6817297501477919,0.6817297104433993,0.8723821361240115,-0.30762785526854775,-0.2558955679167391,-0.26102004014209634,-0.31812071808997733,1.0,-0.571546293286738,0.6198713468034771
VIB_EN_300,-0.08972560907198818,-0.17913854186321282,-0.13576158289583484,0.5566817249044975,0.011761115078354681,0.5566817249044975,0.7533085118106975,0.2041752591585033,-0.6036153186628944,-0.7713107066912347,-0.7684501991411647,0.1745744747711653,0.5525612304950414,-0.5511865482187719,0.4030371159144706,-0.9060518496007222,-0.9125754813014395,-0.9125754879330107,-0.9125754973709276,-0.7650812141532896,0.30983598856355854,-0.0954844645656147,-0.08043352644363726,0.5311251889803495,-0.571546293286738,1.0,-0.992481173899291
VIB_FE_300,0.06540445581174546,0.17957702920338153,0.15009495830301783,-0.5459714431665575,-0.016144323425252124,-0.5459714431665575,-0.7388296519071434,-0.22355747827186442,0.604839022781715,0.7986994288141028,0.790639158021838,-0.16538625147492153,-0.5651222294646487,0.5678113577467134,-0.3892831929855701,0.949943792796038,0.9486138332086869,0.9486138482431733,0.9486138502429556,0.8017126468231083,-0.31773997032227363,0.08694493415002642,0.07246441588934605,-0.510002042602106,0.6198713468034771,-0.992481173899291,1.0
