auid,formula,NE,NA,BGAP,EPA,ASPIN,ENPA,VPA,D,BM,SM,YM,ANI,PR,PUGR,IPUGR,DT_AGL,vs,vl,vm,DT_A_AGL,gruneisen,Cv_300,Cp_300,TEX_300,TC_300,VIB_EN_300,VIB_FE_300
aflow:089db02d79e92ef6,Al4Ba1,2,5,0,-3.6172,0,-3.6172,23.7345,3.43177,50.9005,31.3634,78.0579,0.0960439,0.24441,0.616171,1.622926103,343.142,3023.1,4617.86,3312.42,200.588,1.99326,14.0996,14.689,0.0000689,4.98715,0.323333,-14.6506
aflow:08bf56bf0b207b22,B2Zr1,2,3,0,-8.30006,0,-8.30006,10.354,6.03228,238.246,228.781,519.921,0.151012,0.136286,0.960271,1.041372696,898.825,6158.41,9407.13,6747.79,623.332,1.83183,5.95951,6.02803,0.000021,88.4071,0.110751,76.086
aflow:08cc1f2d032fc074,Ce4In2Pt4,3,10,0,-4.41859,0,-4.41859,22.975,11.3508,107.858,38.7951,103.925,0.172013,0.339411,0.359685,2.780210462,216.962,1848.74,2823.99,2025.67,100.722,2.2637,29.2577,30.0409,0.0000389,1.90286,0.436598,-51.4821
aflow:08dfa3fbe822d92b,Co1Nb1Sb1,3,3,0,-5.28646,0.330405,-5.28646,17.7377,8.5375,143.228,60.7049,159.571,0.265795,0.314316,0.423835,2.359408732,333.003,2666.53,4073.19,2921.73,230.889,2.06613,8.4797,8.65387,0.0000331,9.98823,0.328105,-16.2642
aflow:0918f04082c5ea07,Ca6Ge26Ir8,3,40,0,-4.87746,0,-4.87746,18.6462,8.16097,99.3333,50.0357,128.527,0.181985,0.284351,0.503715,1.985249596,313.949,2476.11,3782.31,2713.08,91.8142,2.29663,113.877,117.81,0.0000495,1.21055,0.343998,-21.5874
aflow:09298210b07375df,Ga3Hf3Rh3,3,9,0,-6.26331,0,-6.26331,16.7883,11.5769,160.222,54.2713,146.296,0.513185,0.34782,0.338726,2.952238683,279.989,2165.16,3307.33,2372.37,134.61,2.07572,25.888,26.413,0.0000323,3.55866,0.371326,-30.584
aflow:093eac89f3019431,Ba6Pb10,2,16,0,-3.54303,0,-3.54303,37.6713,7.97836,26.8549,15.1379,38.2303,0.0879651,0.262735,0.563693,1.774015288,140.972,1377.45,2104.09,1509.28,55.9559,2.17196,47.5207,50.4091,0.0000908,0.570515,0.553446,-87.7006
aflow:09457595b027e910,B2Hf1,2,3,0,-8.8015,0,-8.8015,9.96579,11.1144,251.301,244.497,553.867,0.139438,0.132667,0.972923,1.027830568,699.987,4690.23,7164.44,5139.1,485.353,1.80191,6.95859,7.04718,0.0000235,75.6007,0.157847,50.0537
aflow:094644da74c392d9,Al4Ni2Y2,3,8,0,-4.60684,0,-4.60684,17.8024,4.70015,95.177,52.8463,133.779,0.574509,0.265736,0.555242,1.801016494,420.901,3353.14,5122,3674.04,210.5,1.93736,21.8351,22.4069,0.0000447,6.69616,0.271804,3.33046
aflow:095a60fa8ca0cf2e,Ho6Tl10,2,16,0,-3.46587,0,-3.46587,26.8645,11.7183,53.4482,18.2787,49.2247,0.825085,0.346503,0.341989,2.924070657,139.065,1248.94,1907.79,1368.47,55.1622,2.32632,47.5273,50.0619,0.0000743,0.439519,0.555234,-88.2476
aflow:0960532b241beba2,Ca1Pd1,2,2,0,-3.05153,0,-3.05153,21.9559,5.53919,54.8278,23.4866,61.6559,0.0000296,0.312577,0.42837,2.334430516,237.996,2059.15,3145.4,2256.21,188.901,2.05432,5.82634,6.1093,0.0000773,4.19746,0.416487,-45.1146
aflow:099b2305492f3179,Ge4N8Si2,3,14,1.6369,-6.99857,0,-6.99857,9.62587,5.65068,244.939,189.138,451.262,0.502245,0.192942,0.772185,1.295026451,859.195,5785.48,8837.47,6339.17,356.41,2.17153,28.7351,29.25,0.0000276,16.2028,0.118573,71.2303
aflow:099e6ecddbb4873c,Pd4Sn4Y4,3,12,0,-5.17162,0,-5.17162,22.6447,7.67512,93.4889,34.2873,91.6567,0.373743,0.3366,0.366752,2.726638164,244.037,2113.6,3228.58,2315.88,106.577,2.23564,34.8807,35.984,0.0000465,1.63572,0.407304,-42.1882
aflow:09a93d8b282e7db4,Ir1Mn1Sb1,3,3,0,-6.04625,1.38232,-6.04625,19.9226,10.2494,118.472,36.8979,100.283,0.0505051,0.358922,0.311448,3.210808867,230.974,1897.37,2898.28,2078.95,160.166,2.30694,8.74889,9.01245,0.0000429,3.68016,0.421188,-46.608
aflow:09be66b9ee3ec794,O4Os2,2,6,0,-7.00545,0,-7.00545,11.012,11.1687,275.905,109.135,289.266,2.60004,0.325263,0.395553,2.528106221,464.095,3125.94,4774.95,3425.1,255.349,2.20818,16.0403,16.336,0.0000277,10.2115,0.248196,12.0137
aflow:09ce06dcdb3ef9e0,As1Cd1Pt5,3,7,0,-3.61037,0,-3.61037,16.5383,16.6785,182.313,56.2765,153.079,0.560629,0.360059,0.30868,3.239600881,238.03,1836.9,2805.9,2012.69,124.416,2.57511,20.3763,20.968,0.0000371,2.28711,0.413167,-44.0583
aflow:09d0d69e13654651,C1Ni3Zn1,3,5,0,-3.21258,0.0673001,-3.21258,10.3491,8.1337,189.711,44.7535,124.473,0.939411,0.390647,0.235903,4.239030449,352.062,2345.68,3583.09,2570.17,205.851,2.33928,14.05,14.5689,0.0000516,2.98737,0.316518,-12.3334
