     Index              y_true              y_pred        descriptor_1
       133    0.6173610000E+02    0.5858783091E+02    0.1553968985E+02
       134    0.1802500000E+02    0.1701194939E+02    0.4485250770E+01
       135    0.6162910000E+01    0.6513449005E+01    0.1693847949E+01
       136    0.1807150000E+02    0.1784275443E+02    0.4706150083E+01
       137    0.1174450000E+02    0.1144612771E+02    0.3005377477E+01
       138    0.5394840000E+01    0.5636759701E+01    0.1460748658E+01
       139    0.1186030000E+02    0.1148515897E+02    0.3015755336E+01
       140    0.2363830000E+02    0.2419475894E+02    0.6395058276E+01
       141    0.1930690000E+02    0.1860048297E+02    0.4907619390E+01
       142    0.2205030000E+02    0.2250497471E+02    0.5945768539E+01
       143    0.5182930000E+02    0.5144291313E+02    0.1363995723E+02
       144    0.1410760000E+02    0.1425806499E+02    0.3753031842E+01
       145    0.1792870000E+02    0.1711792899E+02    0.4513429248E+01
       146    0.1782060000E+02    0.1795410892E+02    0.4735757668E+01
       147    0.1837470000E+02    0.1674006065E+02    0.4412959398E+01
       148    0.3531610000E+02    0.3533934408E+02    0.9358245897E+01
       149    0.4379510000E+02    0.4594030746E+02    0.1217689218E+02
       150    0.6884860000E+01    0.5932422045E+01    0.1539361095E+01
       151    0.3597040000E+02    0.3401574678E+02    0.9006320089E+01
       152    0.7232860000E+02    0.7359490679E+02    0.1952985915E+02
       153    0.9400940000E+01    0.9093457423E+01    0.2379835710E+01
       154    0.1696740000E+03    0.1330070858E+03    0.3532671757E+02
       155    0.5845750000E+02    0.5865412063E+02    0.1555731535E+02
       156    0.1284600000E+02    0.1297327009E+02    0.3411423043E+01
       157    0.1805550000E+02    0.1694041839E+02    0.4466231689E+01
       158    0.1176910000E+03    0.1191959219E+03    0.3165452434E+02
       159    0.1513600000E+02    0.1487150238E+02    0.3916136173E+01
       160    0.1167880000E+02    0.1150503899E+02    0.3021041154E+01
       161    0.1468900000E+02    0.1457143999E+02    0.3836353825E+01
       162    0.6028030000E+01    0.6073516700E+01    0.1576876169E+01
       163    0.3004090000E+02    0.3098296757E+02    0.8199946975E+01
       164    0.8653870000E+01    0.8892930457E+01    0.2326518425E+01
       165    0.1178100000E+03    0.1154205408E+03    0.3065070389E+02
       166    0.2641300000E+02    0.2657769074E+02    0.7028646150E+01
       167    0.5040910000E+02    0.5100796135E+02    0.1352430970E+02
       168    0.7047180000E+01    0.5952417843E+01    0.1544677695E+01
       169    0.2240690000E+02    0.2265396849E+02    0.5985383880E+01
       170    0.5006190000E+02    0.5094151159E+02    0.1350664165E+02
       171    0.6109300000E+01    0.6181272859E+01    0.1605527008E+01
       172    0.2925000000E+02    0.3221456130E+02    0.8527410336E+01
       173    0.3598400000E+02    0.3701567681E+02    0.9803959069E+01
       174    0.9012450000E+01    0.9247110380E+01    0.2420689859E+01
       175    0.1633600000E+02    0.1640290271E+02    0.4323313868E+01
       176    0.2096800000E+02    0.2074519406E+02    0.5477867744E+01
       177    0.1456890000E+02    0.1387256624E+02    0.3650533175E+01
       178    0.4007150000E+02    0.4031604665E+02    0.1068148075E+02
       179    0.3493660000E+02    0.3328845375E+02    0.8812943156E+01
       180    0.1783150000E+02    0.1859034189E+02    0.4904923020E+01
       181    0.3285280000E+02    0.3333172858E+02    0.8824449321E+01
       182    0.1544410000E+02    0.1518400918E+02    0.3999227312E+01
       183    0.2651460000E+02    0.2611560563E+02    0.6905784252E+01
       184    0.5890220000E+01    0.6123038465E+01    0.1590043306E+01
       185    0.2911670000E+02    0.2939122306E+02    0.7776724615E+01
       186    0.1191090000E+02    0.1205489490E+02    0.3167240065E+01
       187    0.1416760000E+02    0.1454975674E+02    0.3830588555E+01
       188    0.3279490000E+02    0.3481426746E+02    0.9218635448E+01
       189    0.1855090000E+02    0.1987334900E+02    0.5246056470E+01
       190    0.1806500000E+02    0.1909523880E+02    0.5039167969E+01
       191    0.1821420000E+02    0.1804396412E+02    0.4759648896E+01
       192    0.1864290000E+02    0.1871271609E+02    0.4937460589E+01
       193    0.2377620000E+02    0.2345925369E+02    0.6199497828E+01
       194    0.1796070000E+02    0.1867455449E+02    0.4927313959E+01
       195    0.2202620000E+02    0.2363633197E+02    0.6246580439E+01
       196    0.3699200000E+01    0.4153811764E+01    0.1066453768E+01
       197    0.3342240000E+02    0.3431468569E+02    0.9085803720E+01
       198    0.1205810000E+02    0.1214479991E+02    0.3191144536E+01
       199    0.1107100000E+02    0.1069379948E+02    0.2805344038E+01
       200    0.1428540000E+02    0.1430950193E+02    0.3766708197E+01
       201    0.3704730000E+02    0.3834356648E+02    0.1015702616E+02
       202    0.5881990000E+02    0.6020815892E+02    0.1597051216E+02
       203    0.2130000000E+02    0.2165909291E+02    0.5720860528E+01
       204    0.1224040000E+03    0.1252225786E+03    0.3325692715E+02
       205    0.1167210000E+02    0.1165557018E+02    0.3061065267E+01
       206    0.9483290000E+01    0.9537283116E+01    0.2497842687E+01
