materials    Cp_300  NA  PR  PUGR  SM  VPA
Zr2	5.83859	2	0.331246	0.380291	35.9976	23.4192
Al36Mg6Mn4	133.636	46	0.329453	0.384851	25.3083	17.396
Na1O3W1	13.1599	5	0.292242	0.482321	99.8725	12.1255
C6Si6	19.8565	12	0.158993	0.882681	187.749	10.4958
Cd6Ho2	24.8987	8	0.294604	0.475966	26.3701	23.5979
O8Pt6	41.0076	14	0.375487	0.271569	57.2648	12.8599
Hf4Pt12	46.6247	16	0.304153	0.450516	105.132	16.0469
N4Ni8Ta16	78.5184	28	0.289217	0.490491	112.971	14.1901
C1Zr1	5.76733	2	0.402931	0.207571	30.2085	16.6791
In3Zr1	11.9565	4	0.233061	0.649456	51.6571	22.5539
B2Ge6Ta10	50.7565	18	0.2674	0.550575	108.268	15.7388
Mg4Se8	35.6195	12	0.259456	0.572972	28.8189	23.0508
Al1Ba1Si1	8.84819	3	0.194107	0.768506	37.7146	27.9231
Li2Pd1Sb1	12.4471	4	0.346477	0.342055	22.9576	16.226
Te2V2	12.1082	4	0.266917	0.551931	33.0608	24.5754
La1Te1	6.0209	2	0.245931	0.611758	34.8736	31.1547
Ru4Si4Ti4	31.8679	12	0.289358	0.49011	93.0722	14.854
B4Mo4Nb2	24.6108	10	0.246154	0.61111	165.997	12.1066
Ge4Rh8	34.6424	12	0.337122	0.365438	69.2597	14.1926
Ru8Sc4	35.8223	12	0.388352	0.241253	38.6178	16.8245
Ge4Pt4Y4	35.3414	12	0.299716	0.462294	54.8259	19.5572
Gd2O8V2	32.8037	12	0.327495	0.389843	47.016	14.2398
Al1N1	3.26969	2	0.170354	0.84499	213.815	8.41231
Co4Sb12	47.335	16	0.211598	0.714103	56.2477	23.4529
Al6Hf2	22.094	8	0.199504	0.751552	79.717	17.1938
F14Sr4Zn3	61.7361	21	0.305367	0.447308	30.8512	13.8301
Cu4In1Tb1	18.025	6	0.285601	0.500309	48.9274	15.9796
As1U1	6.16291	2	0.441703	0.121308	9.18979	23.9985
Au2Ge2Tb2	18.0715	6	0.285268	0.501214	45.3499	21.3561
Pt3V1	11.7445	4	0.306765	0.443618	99.0821	15.0742
Al1Ru1	5.39484	2	0.293486	0.478971	96.6456	13.4172
Al1Cr1Cu2	11.8603	4	0.33807	0.363052	37.6162	13.9299
Ge4La2Rh2	23.6383	8	0.317689	0.41507	41.3717	21.0348
As2Hg2K2	19.3069	6	0.260318	0.570527	14.6855	31.3785
Rh4Si4	22.0503	8	0.33385	0.373692	84.3679	12.9314
Al14Th4	51.8293	18	0.249011	0.602849	51.403	21.3328
O3Rb1U1	14.1076	5	0.276989	0.523914	69.0141	17.0805
Na2Pt4	17.9287	6	0.270694	0.541371	66.3239	17.8885
La1Pt5	17.8206	6	0.330136	0.383113	67.7037	18.7486
Dy2Tl2Zn2	18.3747	6	0.216553	0.698974	44.031	23.1592
Rh4Sb8	35.3161	12	0.26925	0.545401	55.7394	22.385
Mn4Te8Zn2	43.7951	14	0.415651	0.178749	7.54221	28.7276
Hg1Li1	6.88486	2	0.289878	0.488702	15.9154	18.6693
Li2Ru2Sn8	35.9704	12	0.237555	0.636203	41.974	21.8683
Cd4Dy16Rh4	72.3286	24	0.290408	0.48727	29.6775	26.0114
Al1Au2	9.40094	3	0.41122	0.188729	23.4401	16.6083
Li40Pb12	169.674	52	0.187164	0.790546	17.0055	19.9199
Ru8Sn12	58.4575	20	0.295875	0.472556	60.6954	19.3824
Ba1O3Ti1	12.846	5	0.227498	0.665992	106.57	13.3816
Dy2In2Zn2	18.0555	6	0.226735	0.668273	43.4144	22.7125
As16Mg24	117.691	40	0.271092	0.540264	26.635	24.1965
Ba1Ge3Pt1	15.136	5	0.276421	0.525483	39.5018	22.1113
Ga2Y2	11.6788	4	0.229684	0.659477	43.7683	24.1742
Al4Ba1	14.689	5	0.24441	0.616171	31.3634	23.7345
B2Zr1	6.02803	3	0.136286	0.960271	228.781	10.354
Ce4In2Pt4	30.0409	10	0.339411	0.359685	38.7951	22.975
Co1Nb1Sb1	8.65387	3	0.314316	0.423835	60.7049	17.7377
Ca6Ge26Ir8	117.81	40	0.284351	0.503715	50.0357	18.6462
Ga3Hf3Rh3	26.413	9	0.34782	0.338726	54.2713	16.7883
Ba6Pb10	50.4091	16	0.262735	0.563693	15.1379	37.6713
B2Hf1	7.04718	3	0.132667	0.972923	244.497	9.96579
Al4Ni2Y2	22.4069	8	0.265736	0.555242	52.8463	17.8024
Ho6Tl10	50.0619	16	0.346503	0.341989	18.2787	26.8645
Ca1Pd1	6.1093	2	0.312577	0.42837	23.4866	21.9559
Ge4N8Si2	29.25	14	0.192942	0.772185	189.138	9.62587
Pd4Sn4Y4	35.984	12	0.3366	0.366752	34.2873	22.6447
Ir1Mn1Sb1	9.01245	3	0.358922	0.311448	36.8979	19.9226
O4Os2	16.336	6	0.325263	0.395553	109.135	11.012
As1Cd1Pt5	20.968	7	0.360059	0.30868	56.2765	16.5383
C1Ni3Zn1	14.5689	5	0.390647	0.235903	44.7535	10.3491
P12Ru4	40.0715	16	0.199324	0.752114	115.241	15.4838
Os4Te8	34.9366	12	0.218002	0.694576	86.7303	22.645
Co2Zr4	17.8315	6	0.412407	0.186052	18.2566	19.8665
Ir4Nb4Si4	32.8528	12	0.279425	0.517205	127.647	14.9187
Si4Zr2	15.4441	6	0.191456	0.776891	95.607	16.8321
Pd6Si3	26.5146	9	0.377999	0.265605	48.569	14.2159
S1Tb1	5.89022	2	0.303635	0.451886	43.381	21.4118
Pt4Si4Th2	29.1167	10	0.308857	0.438115	73.1056	18.3912
Rh3Th1	11.9109	4	0.335048	0.370666	56.0797	18.8458
Ir1Si3Y1	14.1676	5	0.304206	0.450374	58.8787	17.1079
O4S4Zr4	32.7949	12	0.328682	0.386816	50.5992	16.0068
C4Cr2Sc2	18.5509	8	0.2176	0.695796	103.456	11.5192
Te4Y2	18.065	6	0.306408	0.444559	25.4022	29.4461
