MP_ID,MP_formula,MP_species,MP_NE,AFLOW_ID,AFLOW_formula,AFLOW_species,AFLOW_NE
mp-4438,CaSnO3,"['Ca', 'O', 'Sn']",3,aflow:f20ea6ba64ca6151,Ca1O3Sn1,"['Ca', 'O', 'Sn']",3
mp-4019,CaTiO3,"['Ca', 'O', 'Ti']",3,aflow:acc2c58523ee6cb1,Ca1O3Ti1,"['Ca', 'O', 'Ti']",3
mp-4571,CaZrO3,"['Ca', 'O', 'Zr']",3,aflow:26237603f1b44cd0,Ca1O3Zr1,"['Ca', 'O', 'Zr']",3
mp-567681,CsPbBr3,"['Br', 'Cs', 'Pb']",3,aflow:53122e2feb234908,Br3Cs1Pb1,"['Br', 'Cs', 'Pb']",3
mp-2955,NaMgF3,"['F', 'Mg', 'Na']",3,aflow:d7f3c7cbcc4978f2,F3Mg1Na1,"['F', 'Mg', 'Na']",3
mp-2231,SnS,"['S', 'Sn']",2,aflow:77aa555431a169d4,S1Sn1,"['S', 'Sn']",2
mp-691,SnSe,"['Se', 'Sn']",2,aflow:57b75e00d1aa2af6,Se1Sn1,"['Se', 'Sn']",2
mp-2879,SrSnO3,"['O', 'Sn', 'Sr']",3,aflow:a81bb2b2c64c9d6f,O3Sn1Sr1,"['O', 'Sn', 'Sr']",3
mp-4387,SrZrO3,"['O', 'Sr', 'Zr']",3,aflow:c4132aed04864439,O3Sr1Zr1,"['O', 'Sr', 'Zr']",3
mp-3378,SrHfO3,"['Hf', 'O', 'Sr']",3,aflow:904000e7545dbe41,Hf1O3Sr1,"['Hf', 'O', 'Sr']",3
mp-22390,SrRuO3,"['O', 'Ru', 'Sr']",3,aflow:d52e440e9529cc6d,O3Ru1Sr1,"['O', 'Ru', 'Sr']",3
mp-5126,ZnSO4,"['O', 'S', 'Zn']",3,aflow:32900c9d0831cc96,O4S1Zn1,"['O', 'S', 'Zn']",3
mp-669917,ZrRh,"['Rh', 'Zr']",2,aflow:90e8a1a980d4201c,Rh1Zr1,"['Rh', 'Zr']",2
mp-569558,AlAu2,"['Al', 'Au']",2,aflow:08167170b6a59946,Al1Au2,"['Al', 'Au']",2
mp-700,GeSe,"['Ge', 'Se']",2,aflow:736d8e730dd9c794,Ge1Se1,"['Ge', 'Se']",2
