compound,auid,aurl,Pearson_symbol_orig,point_group_Schoenflies_orig,point_group_structure_orig,point_group_type_orig,spacegroup_orig,spacegroup_relax,Pearson_symbol_relax,crystal_family,nspecies,species,natoms,density,volume_atom,volume_cell,bader_net_charges,bader_atomic_volumes,spin_atom,nbondxx,Egap,energy_atom,energy_cell,enthalpy_atom,enthalpy_cell,enthalpy_formation_cell,entropic_temperature,ael_bulk_modulus_reuss,ael_bulk_modulus_voigt,ael_bulk_modulus_vrh,ael_debye_temperature,ael_elastic_anisotropy,ael_poisson_ratio,ael_pughs_modulus_ratio,ael_shear_modulus_reuss,ael_shear_modulus_voigt,ael_shear_modulus_vrh,ael_speed_sound_average,ael_speed_sound_longitudinal,ael_speed_sound_transverse,ael_stiffness_tensor,ael_youngs_modulus_vrh,agl_acoustic_debye,agl_debye,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_gruneisen,agl_vibrational_entropy_300K_atom,agl_vibrational_entropy_300K_cell,agl_vibrational_free_energy_300K_atom,agl_vibrational_free_energy_300K_cell,
Al4Au4Dy2,aflow:f1f31fdc7a8eb3f5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al2Au2Dy1_ICSD_658121,tP10,D_4h,2_x_dihedral,centrosymmetric,129,129,tP10,tetragonal,3,"['Al', 'Au', 'Dy']",10,10.3113,19.6597,196.597,,,0,"[3.06061, 2.46112, 3.2985, 3.06061, 3.29896, 4.32836]",0,-3.56324,-35.6324,-3.56324,-35.6324,,,99.9851,100.546,100.266,231.37,0.325269,0.332607,0.37684,36.6137,38.9544,37.7841,2097.44,2924.06,1914.24,"[[152.283, 56.9333, 84.8833, 0, 0, 0], [56.9333, 152.283, 84.8833, 0, 0, 0], [86.75, 86.75, 143.217, 0, 0, 0], [0, 0, 0, 45, 0, 0], [0, 0, 0, 0, 45, 0], [0, 0, 0, 0, 0, 31.7]]",100.703,108.149,233.055,30.1264,29.1491,1.8081,0.0000494,2.22609,0.419083,4.19083,-45.9399,-459.399,
Te2Zn2,aflow:f1f5255f9504e33c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Te1Zn1_ICSD_184491,oS8,D_2h,2_x_dihedral,centrosymmetric,63,63,oS8,orthorhombic,2,"['Te', 'Zn']",4,6.50846,24.618,98.4721,"[-0.5277, -0.5292, 0.5298, 0.5271]","[33.73, 33.76, 15.47, 15.51]",0,"[3.87747, 2.7079, 3.20128]",0,-2.07119,-8.28474,-2.07119,-8.28474,,,25.0777,37.8222,31.4499,184.015,1.79922,0.265016,0.557269,15.5221,19.53,17.5261,1798.03,2506.64,1640.98,"[[86.3333, 23.4833, 49.7833, 0, 0, 0], [23.2167, 47.1333, 3.88333, 0, 0, 0], [49.0167, 3.78333, 54.1667, 0, 0, 0], [0, 0, 0, 19.1667, 0, 0], [0, 0, 0, 0, 18.6, 0], [0, 0, 0, 0, 0, 22.8]]",44.3415,144.891,229.945,12.2908,11.6753,2.91044,0.0000797,2.1621,0.425134,1.70054,-47.8592,-191.437,
O1Yb1,aflow:f1f93e996c14748f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O1Yb1_ICSD_151764,cF8,O_h,2_x_symmetric,centrosymmetric,225,225,cF8,cubic,2,"['O', 'Yb']",2,10.756,14.5922,29.1844,"[-1.4229, 1.4229]","[13.96, 15.22]",0,"[3.45585, 2.44366, 3.45585]",1.0945,-5.94432,-11.8886,-5.94432,-11.8886,,,89.3778,89.3778,89.3778,346.943,0.000139674,0.180099,0.813241,72.6846,72.6867,72.6857,2846.32,3968.07,2597.71,"[[185.667, 41.2333, 41.2333, 0, 0, 0], [41.2333, 185.667, 41.2333, 0, 0, 0], [41.2333, 41.2333, 185.667, 0, 0, 0], [0, 0, 0, 73, 0, 0], [0, 0, 0, 0, 73, 0], [0, 0, 0, 0, 0, 73]]",171.552,288.113,363.136,5.78979,5.59489,17.4662,0.0000573,2.00736,0.308403,0.616806,-9.55275,-19.1055,
Ir2O4,aflow:f2017297ff3f45c8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ir1O2_ICSD_56009,tP6,D_4h,2_x_dihedral,centrosymmetric,136,136,tP6,tetragonal,2,"['Ir', 'O']",6,11.3483,10.9363,65.6178,"[1.6082, 1.6082, -0.8041, -0.8041, -0.8041, -0.8041]","[12.8, 12.8, 10, 10, 10, 10]",0,"[3.17548, 1.97876, 2.47114]",0,-6.20253,-37.2152,-6.20253,-37.2152,0.223621,-679.485,255.209,267.246,261.228,443.226,2.19168,0.325429,0.395127,84.9914,121.444,103.218,3304.5,4606.82,3015.87,"[[306.433, 236.267, 183.033, 0, 0, 0], [236.4, 306.3, 183.033, 0, 0, 0], [185.383, 185.4, 583.117, 0, 0, 0], [0, 0, 0, 106.7, 0, 0], [0, 0, 0, 0, 106.7, 0], [0, 0, 0, 0, 0, 196.767]]",273.616,248.195,451.093,16.4768,16.1446,8.97785,0.0000302,2.25938,0.255049,1.53029,9.45733,56.744,
As2Be2Na2,aflow:f20e761d9e2bd204,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/As1Be1Na1_ICSD_100091,hP6,D_6h,2_x_dihedral,centrosymmetric,194,194,hP6,hexagonal,3,"['As', 'Be', 'Na']",6,3.11602,18.9933,113.96,"[-2.2306, -2.2304, 1.4182, 1.4182, 0.8123, 0.8123]","[42.67, 42.66, 4.295, 4.295, 10.02, 10.02]",0,"[3.83121, 2.21196, 3.14891, 3.83121, 3.14891, 3.83121]",1.2805,-3.63161,-21.7897,-3.63161,-21.7897,-2.37203,4175.9,38.9092,51.8796,45.3944,402.672,2.36582,0.201745,0.744555,28.0896,39.5078,33.7987,3608.63,5030.81,3293.44,"[[153.083, 33.7833, 9.56667, 0, 0, 0], [33.8, 153.083, 9.58333, 0, 0, 0], [9.7, 9.7, 54.6167, 0, 0, 0], [0, 0, 0, 17.6333, 0, 0], [0, 0, 0, 0, 17.6333, 0], [0, 0, 0, 0, 0, 59.7]]",81.2347,230.034,417.832,17.1439,16.4235,6.42497,0.0000783,1.84231,0.275518,1.65311,1.99402,11.9641,
Ca1O3Sn1,aflow:f20ea6ba64ca6151,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ca1O3Sn1_ICSD_181086,cP5,O_h,2_x_symmetric,centrosymmetric,221,221,cP5,cubic,3,"['Ca', 'O', 'Sn']",5,4.8952,14.0279,70.1394,"[1.617, -1.2645, -1.2645, -1.2645, 2.1764]","[14.55, 14.71, 14.71, 14.71, 11.48]",0,"[4.12402, 2.91612, 3.57151, 2.91612, 2.06201, 4.12402]",0.6888,-5.98838,-29.9419,-5.98838,-29.9419,-9.35224,22841.5,139.722,139.722,139.722,531.654,0.370899,0.270728,0.541278,72.9239,78.3333,75.6286,4306.76,6004.07,3930.59,"[[279.633, 69.7667, 69.7667, 0, 0, 0], [69.7667, 279.633, 69.7667, 0, 0, 0], [69.7667, 69.7667, 279.633, 0, 0, 0], [0, 0, 0, 60.6, 0, 0], [0, 0, 0, 0, 60.6, 0], [0, 0, 0, 0, 0, 60.6]]",192.207,304.683,520.868,13.4032,12.9917,9.29177,0.000046,2.27409,0.222409,1.11205,21.9463,109.731,
Ga9Ru3Tb3,aflow:f2279ead56e81c17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ga3Ru1Tb1_ICSD_635232,cP15,O_h,2_x_symmetric,centrosymmetric,221,221,cP15,cubic,3,"['Ga', 'Ru', 'Tb']",15,8.81493,17.6776,265.165,"[-0.4889, -0.0709, -0.0861, -0.0898, -0.0598, -0.0869, -0.0503, -0.0691, -0.0324, -0.9746, -0.9746, -0.9746, 1.3193, 1.3193, 1.3193]","[22.91, 16.39, 16.48, 16.5, 16.32, 16.48, 16.27, 16.38, 16.17, 20.15, 20.15, 20.15, 16.94, 16.94, 16.94]",0,"[2.70606, 2.66797, 2.95703, 4.5428, 3.21224, 4.5428]",0,-4.11399,-61.7098,-4.11399,-61.7098,,,112.322,112.322,112.322,326.785,0.499411,0.273191,0.534427,57.1728,62.8833,60.0281,2859.31,3986.17,2609.56,"[[167.067, 84.95, 84.95, 0, 0, 0], [84.95, 167.067, 84.95, 0, 0, 0], [84.95, 84.95, 167.067, 0, 0, 0], [0, 0, 0, 77.4333, 0, 0], [0, 0, 0, 0, 77.4333, 0], [0, 0, 0, 0, 0, 77.4333]]",152.854,131.376,323.99,43.8409,42.5602,2.95729,0.0000461,2.15428,0.336269,5.04403,-19.0078,-285.118,
Ru1Zr1,aflow:f22c703bcdb00e01,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru1Zr1_ICSD_106022,cP2,O_h,2_x_symmetric,centrosymmetric,221,221,cP2,cubic,2,"['Ru', 'Zr']",2,9.11604,17.5134,35.0267,"[-1.4969, 1.4969]","[21.67, 13.36]",0,"[3.2719, 2.83355, 3.2719]",0,-7.86347,-15.7269,-7.86347,-15.7269,,,184.217,184.217,184.217,391.513,0.2829,0.292842,0.480704,86.1175,90.99,88.5537,3415.02,4760.9,3116.74,"[[341.583, 105.533, 105.533, 0, 0, 0], [105.533, 341.583, 105.533, 0, 0, 0], [105.533, 105.533, 341.583, 0, 0, 0], [0, 0, 0, 72.9667, 0, 0], [0, 0, 0, 0, 72.9667, 0], [0, 0, 0, 0, 0, 72.9667]]",228.972,311.131,391.932,5.60114,5.52236,25.2833,0.0000242,1.95597,0.287564,0.575128,-2.2924,-4.58481,
Li2Te1,aflow:f237511d90939265,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li2Te1_ICSD_182740,cF12,O_h,2_x_symmetric,centrosymmetric,225,225,cF12,cubic,2,"['Li', 'Te']",3,3.38346,23.1456,69.4367,"[0.8519, 0.8519, -1.7037]","[4.454, 4.455, 60.51]",0,"[3.26227, 2.82521, 4.61354]",2.4957,-3.35754,-10.0726,-3.35754,-10.0726,-3.12115,18967.6,26.2556,26.2556,26.2556,273.322,0.186142,0.204906,0.734733,18.9383,19.6433,19.2908,2616.3,3647.4,2387.78,"[[46.6, 16.0833, 16.0833, 0, 0, 0], [16.0833, 46.6, 16.0833, 0, 0, 0], [16.0833, 16.0833, 46.6, 0, 0, 0], [0, 0, 0, 22.5667, 0, 0], [0, 0, 0, 0, 22.5667, 0], [0, 0, 0, 0, 0, 22.5667]]",46.4872,184.434,265.96,9.362,8.68373,3.89618,0.000140141,1.80269,0.391625,1.17488,-37.1604,-111.481,
H8W4,aflow:f23d162b7bc02b36,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/H2W1_ICSD_247591,oP12,D_2h,2_x_dihedral,centrosymmetric,62,62,oP12,orthorhombic,2,"['H', 'W']",12,14.5093,7.09055,85.0866,"[-0.4693, -0.4693, -0.4693, -0.4693, -0.3969, -0.3969, -0.3969, -0.3969, 0.8662, 0.8662, 0.8662, 0.8662]","[3.733, 3.733, 3.733, 3.733, 3.528, 3.528, 3.528, 3.528, 14.01, 14.01, 14.01, 14.01]",0,"[2.06245, 1.87564, 2.93483]",0,-5.4452,-65.3424,-5.4452,-65.3424,,,239.203,216.744,227.974,380.43,1.73231,0.355639,0.319468,61.5838,84.0767,72.8303,2454.85,3422.32,2240.43,"[[370.3, 141.183, 126.2, 0, 0, 0], [139.9, 283.083, 211.767, 0, 0, 0], [128.1, 203.45, 335.217, 0, 0, 0], [0, 0, 0, 103.6, 0, 0], [0, 0, 0, 0, 118.267, 0], [0, 0, 0, 0, 0, 29.3333]]",197.463,172.095,394.127,34.0853,33.15,3.60283,0.000047,1.98299,0.288265,3.45918,-2.53984,-30.4781,
Co2Er2Ge4,aflow:f24ba749e4234634,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Co1Er1Ge2_ICSD_622811,oS16,D_2h,2_x_dihedral,centrosymmetric,63,63,oS16,orthorhombic,3,"['Co', 'Er', 'Ge']",8,8.9347,17.2552,138.042,"[-0.6932, -0.6932, 1.5108, 1.5108, -0.6826, -0.6686, -0.142, -0.142]","[14.14, 14.14, 16.63, 16.64, 22.22, 22.15, 16.07, 16.07]",0,"[3.64569, 3.15271, 2.23045, 4.09077, 3.07608, 2.54222]",0,-4.67213,-37.3771,-4.67213,-37.3771,,,105.866,107.435,106.65,273.874,0.197764,0.325752,0.3943,41.2968,42.8078,42.0523,2377.1,3313.93,2169.48,"[[157.95, 72.65, 58.25, 0, 0, 0], [73.8167, 179.517, 98.65, 0, 0, 0], [60.7333, 99.85, 165.383, 0, 0, 0], [0, 0, 0, 49.7167, 0, 0], [0, 0, 0, 0, 33.8333, 0], [0, 0, 0, 0, 0, 40.2167]]",111.502,142,284.022,23.6949,22.9943,2.99871,0.0000468,2.14485,0.369112,2.9529,-29.8617,-238.894,
S8Sc4Zn2,aflow:f2614f3bcd5bdd40,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/S4Sc2Zn1_ICSD_650850,cF56,O_h,2_x_symmetric,centrosymmetric,227,227,cF56,cubic,3,"['S', 'Sc', 'Zn']",14,3.16776,21.2325,297.255,"[-1.1639, -1.1655, -1.1709, -1.1753, -1.1679, -1.1638, -1.1686, -1.1753, 1.8953, 1.8953, 1.8953, 1.8864, 0.8895, 0.8894]","[28.13, 28.15, 28.23, 28.35, 28.18, 28.13, 28.2, 28.35, 10.65, 10.65, 10.65, 10.72, 14.43, 14.44]",0,"[3.63818, 2.6111, 2.35945, 3.74557, 4.39207, 4.58737]",0.9573,-5.54877,-77.6828,-5.54877,-77.6828,,,73.2778,73.2778,73.2778,385.326,0.268668,0.299644,0.462486,33.0033,34.7767,33.89,3583.87,4996.3,3270.84,"[[107.4, 56.2167, 56.2167, 0, 0, 0], [56.2167, 107.4, 56.2167, 0, 0, 0], [56.2167, 56.2167, 107.4, 0, 0, 0], [0, 0, 0, 40.9, 0, 0], [0, 0, 0, 0, 40.9, 0], [0, 0, 0, 0, 0, 40.9]]",88.0898,165.55,398.998,39.5998,38.5736,3.44355,0.0000461,1.91065,0.284472,3.98261,-1.19903,-16.7865,
